source,table,page,group1,group2,vector,period,value
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1879,13.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1889,13.4
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1899,14.8
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1904,15.8
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1909,16.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1914,16.2
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1919,16.4
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Buildings,CDT1S1,1922,16.5
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1879,24.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1889,24.3
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1899,25.9
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1904,27.5
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1909,28.1
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1914,28.7
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1919,29.5
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Percentage of Total Manufacturing Capital,Machinery and Equipment,CDT1S2,1922,30.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Buildings,CDT1S3,1879,363.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Buildings,CDT1S3,1889,879.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Buildings,CDT1S3,1899,1450.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Buildings,CDT1S3,1904,1996.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Buildings,CDT1S3,1909,2948.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Buildings,CDT1S3,1914,3692.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Buildings,CDT1S3,1919,7293.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Buildings,CDT1S3,1922,8681.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Machinery and Equipment,CDT1S4,1879,670.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Machinery and Equipment,CDT1S4,1889,1584.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Machinery and Equipment,CDT1S4,1899,2543.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Machinery and Equipment,CDT1S4,1904,3490.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Machinery and Equipment,CDT1S4,1909,5178.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Machinery and Equipment,CDT1S4,1914,6541.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Machinery and Equipment,CDT1S4,1919,13118.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Machinery and Equipment,CDT1S4,1922,15783.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Total,CDT1S5,1879,1033.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Total,CDT1S5,1889,2463.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Total,CDT1S5,1899,3993.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Total,CDT1S5,1904,5486.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Total,CDT1S5,1909,8126.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Total,CDT1S5,1914,10233.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Total,CDT1S5,1919,20411.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Value in Millions of Dollars,Total,CDT1S5,1922,24464.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table I. Estimated Values of Manufacturing Buildings and Machinery, Tools and Equipment and Percentages Which They Formed of Total Manufacturing Capital, 1879-1922",142,Total Fixed Assets,no_details,CDT1S0,1922,52610.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],144,Value of Specified Capital Goods (in millions of dollars),no_details,CDT0S5,1880,200.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],144,Value of Specified Capital Goods (in millions of dollars),no_details,CDT0S5,1881,210.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],144,Value of Specified Capital Goods (in millions of dollars),no_details,CDT0S5,1882,216.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],144,Value of Specified Capital Goods (in millions of dollars),no_details,CDT0S5,1883,184.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],144,Value of Specified Capital Goods (in millions of dollars),no_details,CDT0S5,1884,148.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],144,Value of Specified Capital Goods (in millions of dollars),no_details,CDT0S5,1885,141.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],144,Value of Specified Capital Goods (in millions of dollars),no_details,CDT0S5,1886,211.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],144,Value of Specified Capital Goods (in millions of dollars),no_details,CDT0S5,1887,282.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],144,Value of Specified Capital Goods (in millions of dollars),no_details,CDT0S5,1888,241.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],144,Value of Specified Capital Goods (in millions of dollars),no_details,CDT0S5,1889,263.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1899,339.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1900,264.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1901,277.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1902,342.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1903,328.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1904,282.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1905,457.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1906,612.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1907,629.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1908,373.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1909,569.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1910,422.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1911,379.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1912,457.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1913,497.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1914,356.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1915,1017.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1916,1899.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Annual Increase in Terms of Cost Price (1),no_details,CDT2S1,1917,2891.0
