source,table,page,group1,group2,vector,period,value
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1908,8229.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1909,8820.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1910,9240.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1911,9624.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1912,10067.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1913,10520.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1914,10873.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1915,11840.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1916,13242.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1917,14915.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1918,16265.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1919,17234.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1920,18118.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1921,18542.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Total Fixed Capital in 1880 dollars (4),no_details,CDT2S4,1922,19192.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1899,100.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1900,107.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1901,114.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1902,122.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1903,131.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1904,138.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1905,149.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1906,163.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1907,176.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1908,185.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1909,198.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1910,208.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1911,216.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1912,226.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1913,236.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1914,244.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1915,266.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1916,298.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1917,335.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1918,366.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1919,387.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1920,407.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1921,417.0
"C.W. Cobb, P.H. Douglas. A Theory of Production","Table II. Estimated Annual Additions to Fixed Capital in Manufacturing Together With Cumulative Total Capital as Expressed in Terms of Cost and 1880 Prices (Millions of dollars), 1899-1922",145,Relative Total Capital 1899=100 (5),no_details,CDT2S5,1922,431.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Massachusetts (Total Capital),no_details,CDT0S7,1911,105.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Massachusetts (Total Capital),no_details,CDT0S7,1912,110.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Massachusetts (Total Capital),no_details,CDT0S7,1913,113.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Massachusetts (Total Capital),no_details,CDT0S7,1914,130.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Massachusetts (Total Capital),no_details,CDT0S7,1915,130.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Massachusetts (Total Capital),no_details,CDT0S7,1916,150.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Massachusetts (Total Capital),no_details,CDT0S7,1917,188.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Massachusetts (Total Capital),no_details,CDT0S7,1918,210.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Massachusetts (Total Capital),no_details,CDT0S7,1919,248.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Massachusetts (Total Capital),no_details,CDT0S7,1920,250.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Estimated for United States (Fixed Capital),no_details,CDT0S8,1911,104.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Estimated for United States (Fixed Capital),no_details,CDT0S8,1912,110.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Estimated for United States (Fixed Capital),no_details,CDT0S8,1913,116.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Estimated for United States (Fixed Capital),no_details,CDT0S8,1914,120.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Estimated for United States (Fixed Capital),no_details,CDT0S8,1915,132.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Estimated for United States (Fixed Capital),no_details,CDT0S8,1916,154.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Estimated for United States (Fixed Capital),no_details,CDT0S8,1917,188.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Estimated for United States (Fixed Capital),no_details,CDT0S8,1918,217.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Estimated for United States (Fixed Capital),no_details,CDT0S8,1919,239.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table [No Details],146,Estimated for United States (Fixed Capital),no_details,CDT0S8,1920,263.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1899,4713.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1900,4968.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1901,5184.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1902,5554.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1903,5784.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1904,5468.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1905,5906.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1906,6251.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1907,6483.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1908,5714.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1909,6615.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1910,6807.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1911,6855.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1912,7167.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1913,7277.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1914,7026.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1915,7269.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1916,8601.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1917,9218.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1918,9446.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1919,9096.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1920,9110.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1921,6947.0
"C.W. Cobb, P.H. Douglas. A Theory of Production",Table III. The Probable Average Number of Wage-Earners Employed in Manufacturing 1899-1922,148,Average Number Employed (in thousands),no_details,CDT3S1,1922,7602.0
